utc,second,launched,completed,success,errors,skipped,p99_ms
2026-09-12T14:00:42.090319Z,0,20,20,20,0,0,13.396636000038598
2026-09-12T14:00:43.090319Z,1,20,20,20,0,0,2.3213110000597226
2026-09-12T14:00:44.090319Z,2,20,20,20,0,0,3.274391999980253
2026-09-12T14:00:45.090319Z,3,20,20,20,0,0,2.1261010000444003
2026-09-12T14:00:46.090319Z,4,20,20,20,0,0,4.03464900000472
2026-09-12T14:00:47.090319Z,5,20,20,20,0,0,2.1776350000664024
2026-09-12T14:00:48.090319Z,6,20,20,20,0,0,2.453648000027897
2026-09-12T14:00:49.090319Z,7,20,20,20,0,0,2.5498589999415344
2026-09-12T14:00:50.090319Z,8,20,20,20,0,0,4.156384999987495
2026-09-12T14:00:51.090319Z,9,20,20,20,0,0,2.380230999960986
2026-09-12T14:00:52.090319Z,10,20,20,20,0,0,2.6469550000456366
2026-09-12T14:00:53.090319Z,11,20,20,20,0,0,2.49687999996695
2026-09-12T14:00:54.090319Z,12,20,20,20,0,0,2.3501769999256794
2026-09-12T14:00:55.090319Z,13,20,20,20,0,0,2.3883129999831
2026-09-12T14:00:56.090319Z,14,20,20,20,0,0,2.2104470000385845
2026-09-12T14:00:57.090319Z,15,20,20,20,0,0,2.3028919999887876
2026-09-12T14:00:58.090319Z,16,20,20,20,0,0,2.189008000073045
2026-09-12T14:00:59.090319Z,17,20,20,20,0,0,2.079604000073232
2026-09-12T14:01:00.090319Z,18,20,20,20,0,0,2.2580109999807974
2026-09-12T14:01:01.090319Z,19,20,20,20,0,0,2.6423859999340493
2026-09-12T14:01:02.090319Z,20,20,20,20,0,0,3.290785999979562
2026-09-12T14:01:03.090319Z,21,20,20,20,0,0,2.2641150000026755
2026-09-12T14:01:04.090319Z,22,20,20,20,0,0,2.101347000007081
2026-09-12T14:01:05.090319Z,23,20,20,20,0,0,5.70642900004259
2026-09-12T14:01:06.090319Z,24,20,20,20,0,0,2.1802200000138328
2026-09-12T14:01:07.090319Z,25,20,20,20,0,0,2.4214769999844066
2026-09-12T14:01:08.090319Z,26,20,20,20,0,0,2.1120539998946697
2026-09-12T14:01:09.090319Z,27,20,20,20,0,0,2.1262569999862535
2026-09-12T14:01:10.090319Z,28,20,20,20,0,0,2.3509560001002683
2026-09-12T14:01:11.090319Z,29,20,20,20,0,0,9.523943999965923
2026-09-12T14:01:12.090319Z,30,20,20,20,0,0,2.77552599993669
2026-09-12T14:01:13.090319Z,31,20,20,20,0,0,2.216559999965284
2026-09-12T14:01:14.090319Z,32,20,20,20,0,0,2.090483000074528
2026-09-12T14:01:15.090319Z,33,20,20,20,0,0,4.975693000005776
2026-09-12T14:01:16.090319Z,34,20,20,20,0,0,2.1807130000297548
2026-09-12T14:01:17.090319Z,35,20,20,20,0,0,2.1516350000183593
2026-09-12T14:01:18.090319Z,36,20,20,20,0,0,5.088452999984838
2026-09-12T14:01:19.090319Z,37,20,20,20,0,0,2.4667190000400296
2026-09-12T14:01:20.090319Z,38,20,20,19,1,0,3.1312989999605634
2026-09-12T14:01:21.090319Z,39,20,20,14,6,0,2003.2259509999903
2026-09-12T14:01:22.090319Z,40,20,20,20,0,0,4.7135300000036295
2026-09-12T14:01:23.090319Z,41,20,20,20,0,0,10.385212000073807
2026-09-12T14:01:24.090319Z,42,20,20,20,0,0,2.1964659999866853
2026-09-12T14:01:25.090319Z,43,20,20,20,0,0,10.780646000057459
2026-09-12T14:01:26.090319Z,44,20,20,20,0,0,2.3276540000551904
2026-09-12T14:01:27.090319Z,45,20,20,20,0,0,2.4317159999327487
2026-09-12T14:01:28.090319Z,46,20,20,20,0,0,2.1398269999508557
2026-09-12T14:01:29.090319Z,47,20,20,20,0,0,2.086586000018542
2026-09-12T14:01:30.090319Z,48,20,20,20,0,0,10.354721999988215
2026-09-12T14:01:31.090319Z,49,20,20,20,0,0,2.115097999990212
2026-09-12T14:01:32.090319Z,50,20,20,20,0,0,2.5296259999549875
2026-09-12T14:01:33.090319Z,51,20,20,20,0,0,2.375882000023921
2026-09-12T14:01:34.090319Z,52,20,20,20,0,0,2.17709499997909
2026-09-12T14:01:35.090319Z,53,20,20,20,0,0,2.3236829999859765
2026-09-12T14:01:36.090319Z,54,20,20,20,0,0,2.0715139999083476
2026-09-12T14:01:37.090319Z,55,20,20,20,0,0,2.320417999953861
2026-09-12T14:01:38.090319Z,56,20,20,20,0,0,2.3998330000267742
2026-09-12T14:01:39.090319Z,57,20,20,20,0,0,2.6417210000317937
2026-09-12T14:01:40.090319Z,58,20,20,20,0,0,2.457972999991398
2026-09-12T14:01:41.090319Z,59,20,20,20,0,0,2.538495000067087
2026-09-12T14:01:42.090319Z,60,20,20,20,0,0,2.285186000108297
2026-09-12T14:01:43.090319Z,61,20,20,20,0,0,2.2503719999349414
2026-09-12T14:01:44.090319Z,62,20,20,20,0,0,2.146974000083901
2026-09-12T14:01:45.090319Z,63,20,20,20,0,0,2.4596219999466484
2026-09-12T14:01:46.090319Z,64,20,20,20,0,0,2.648776999990332
2026-09-12T14:01:47.090319Z,65,20,20,20,0,0,2.545732000044154
2026-09-12T14:01:48.090319Z,66,20,20,20,0,0,2.333035999981803
2026-09-12T14:01:49.090319Z,67,20,20,20,0,0,2.4714690000564588
2026-09-12T14:01:50.090319Z,68,20,20,20,0,0,2.2923479999690244
2026-09-12T14:01:51.090319Z,69,20,20,20,0,0,2.675648000035835
2026-09-12T14:01:52.090319Z,70,20,20,20,0,0,2.5060529999336723
