utc,second,launched,completed,success,errors,skipped,p99_ms
2026-09-12T14:05:10.525953Z,0,20,20,20,0,0,35.66647900004227
2026-09-12T14:05:11.525953Z,1,20,20,20,0,0,2.246827999897505
2026-09-12T14:05:12.525953Z,2,20,20,20,0,0,5.046270999969238
2026-09-12T14:05:13.525953Z,3,20,20,20,0,0,4.904359999954977
2026-09-12T14:05:14.525953Z,4,20,20,20,0,0,2.1603240001013546
2026-09-12T14:05:15.525953Z,5,20,20,20,0,0,4.485466999994969
2026-09-12T14:05:16.525953Z,6,20,20,20,0,0,2.2402559999363802
2026-09-12T14:05:17.525953Z,7,20,20,20,0,0,2.310250999926211
2026-09-12T14:05:18.525953Z,8,20,20,20,0,0,3.537153000024773
2026-09-12T14:05:19.525953Z,9,20,20,20,0,0,3.3552109999845925
2026-09-12T14:05:20.525953Z,10,20,20,20,0,0,2.167618000044058
2026-09-12T14:05:21.525953Z,11,20,20,20,0,0,2.3921120000522933
2026-09-12T14:05:22.525953Z,12,20,20,20,0,0,3.9807599999903687
2026-09-12T14:05:23.525953Z,13,20,20,20,0,0,4.663414999981796
2026-09-12T14:05:24.525953Z,14,20,20,20,0,0,4.7575649999771485
2026-09-12T14:05:25.525953Z,15,20,20,20,0,0,7.08631999998488
2026-09-12T14:05:26.525953Z,16,20,20,20,0,0,2.1219820000624168
2026-09-12T14:05:27.525953Z,17,20,20,20,0,0,2.0780779999540755
2026-09-12T14:05:28.525953Z,18,20,20,20,0,0,2.179211999987274
2026-09-12T14:05:29.525953Z,19,20,20,20,0,0,2.6035600000113845
2026-09-12T14:05:30.525953Z,20,20,20,20,0,0,3.58383100001447
2026-09-12T14:05:31.525953Z,21,20,20,20,0,0,2.1620630000143137
2026-09-12T14:05:32.525953Z,22,20,20,20,0,0,2.993070999991687
2026-09-12T14:05:33.525953Z,23,20,20,20,0,0,2.364790000001449
2026-09-12T14:05:34.525953Z,24,20,20,20,0,0,5.169124000076408
2026-09-12T14:05:35.525953Z,25,20,20,20,0,0,4.849123999974836
2026-09-12T14:05:36.525953Z,26,20,20,20,0,0,4.48046200006047
2026-09-12T14:05:37.525953Z,27,20,20,20,0,0,2.0202249999101696
2026-09-12T14:05:38.525953Z,28,20,20,20,0,0,2.0654260000583236
2026-09-12T14:05:39.525953Z,29,20,20,20,0,0,2.2341510000387643
2026-09-12T14:05:40.525953Z,30,20,20,20,0,0,2.733460000058585
2026-09-12T14:05:41.525953Z,31,20,20,20,0,0,2.6150879999704557
2026-09-12T14:05:42.525953Z,32,20,20,20,0,0,5.92787900006897
2026-09-12T14:05:43.525953Z,33,20,20,20,0,0,2.316569000072377
2026-09-12T14:05:44.525953Z,34,20,20,20,0,0,2.1274550000498493
2026-09-12T14:05:45.525953Z,35,20,20,20,0,0,2.2249700000429584
2026-09-12T14:05:46.525953Z,36,20,20,20,0,0,2.5767060000134734
2026-09-12T14:05:47.525953Z,37,20,20,20,0,0,2.1614149999322763
2026-09-12T14:05:48.525953Z,38,20,20,20,0,0,2.392078999946534
2026-09-12T14:05:49.525953Z,39,20,20,20,0,0,2.309192999973675
2026-09-12T14:05:50.525953Z,40,20,20,20,0,0,2.7813190000642862
2026-09-12T14:05:51.525953Z,41,20,20,20,0,0,2.362755000035577
2026-09-12T14:05:52.525953Z,42,20,20,20,0,0,4.600457999913488
2026-09-12T14:05:53.525953Z,43,20,20,20,0,0,2.441932000010638
2026-09-12T14:05:54.525953Z,44,20,20,20,0,0,2.3926290000417794
2026-09-12T14:05:55.525953Z,45,20,20,20,0,0,2.454928000020118
2026-09-12T14:05:56.525953Z,46,20,20,20,0,0,2.2197600000026796
2026-09-12T14:05:57.525953Z,47,20,20,20,0,0,2.3130329999503374
2026-09-12T14:05:58.525953Z,48,20,20,20,0,0,4.6052589999590055
2026-09-12T14:05:59.525953Z,49,20,20,20,0,0,2.3207369999909133
2026-09-12T14:06:00.525953Z,50,20,20,20,0,0,2.8722539999535
2026-09-12T14:06:01.525953Z,51,20,20,20,0,0,2.2686849999900005
2026-09-12T14:06:02.525953Z,52,20,20,20,0,0,2.677108999932898
2026-09-12T14:06:03.525953Z,53,20,20,20,0,0,3.4485410000115735
2026-09-12T14:06:04.525953Z,54,20,20,20,0,0,2.1731560000262107
2026-09-12T14:06:05.525953Z,55,20,20,20,0,0,4.857943999923009
2026-09-12T14:06:06.525953Z,56,20,20,20,0,0,2.562477999958901
2026-09-12T14:06:07.525953Z,57,20,20,20,0,0,4.795842000021366
2026-09-12T14:06:08.525953Z,58,20,20,20,0,0,2.1063359999971
2026-09-12T14:06:09.525953Z,59,20,20,20,0,0,5.215185999986716
2026-09-12T14:06:10.525953Z,60,20,20,20,0,0,2.750878999904671
2026-09-12T14:06:11.525953Z,61,20,20,20,0,0,2.2347660000150427
2026-09-12T14:06:12.525953Z,62,20,20,20,0,0,2.6699129999769866
2026-09-12T14:06:13.525953Z,63,20,20,20,0,0,2.539628000022276
2026-09-12T14:06:14.525953Z,64,20,20,20,0,0,2.1739520000210177
2026-09-12T14:06:15.525953Z,65,20,20,20,0,0,4.560484999956316
2026-09-12T14:06:16.525953Z,66,20,20,20,0,0,3.1541170000082275
2026-09-12T14:06:17.525953Z,67,20,20,20,0,0,2.267372999995132
2026-09-12T14:06:18.525953Z,68,20,20,20,0,0,3.4846190000052957
2026-09-12T14:06:19.525953Z,69,20,20,20,0,0,3.0972409999776573
2026-09-12T14:06:20.525953Z,70,20,20,20,0,0,2.905753999925764
2026-09-12T14:06:21.525953Z,71,20,20,20,0,0,2.300889999901301
2026-09-12T14:06:22.525953Z,72,20,20,20,0,0,5.0109079999174355
2026-09-12T14:06:23.525953Z,73,20,20,20,0,0,3.4762400000545313
